epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.1931,1.47963,3.86855,0.71299,3.68675,1.57853,0.95036,0.23148,0.40664,0.27233,0,0,0,0,0.9362,2.97797,0.69543,1.99683,1.30941,8.574e-05,8.574e-05,8.574e-05
2,7.0751,0.94247,3.93677,0.63528,1.49331,1.13343,1,0.56481,0.66333,0.5409,0,0,0,0,0.56425,3.03386,0.6456,2.7377,0.90316,0.000183931,0.000183931,0.000183931
3,10.1368,0.74552,3.72189,0.49329,0.90883,1.01413,0.97619,0.65741,0.6469,0.57325,0,0,0,0,0.50108,2.98088,0.55914,1.847,0.86799,0.000280141,0.000280141,0.000280141
4,12.8883,0.65094,3.42571,0.40287,0.78234,0.95296,0.99074,0.65741,0.65604,0.56296,0,0,0,0,0.53978,2.85651,0.46285,1.9149,0.8879,0.000374371,0.000374371,0.000374371
5,15.5796,0.66689,3.24454,0.34703,0.80924,0.98817,0.21998,0.34402,0.21593,0.17067,0,0,0,0,1.13246,2.95708,0.53291,inf,1.37215,0.00046662,0.00046662,0.00046662
6,18.5761,0.62929,3.33301,0.31359,0.75002,0.95265,0.15798,0.21296,0.14167,0.11216,0,0,0,0,1.2521,3.03827,0.46324,inf,1.60489,0.000556888,0.000556888,0.000556888
7,21.3884,0.66421,3.31115,0.28573,0.73677,0.97926,0.28446,0.55057,0.30421,0.24005,0,0,0,0,0.93878,2.4985,0.32064,11.7343,1.2817,0.000645176,0.000645176,0.000645176
8,24.0434,0.6714,3.15423,0.26391,0.68699,0.96198,0.65761,0.56432,0.37378,0.25804,0,0,0,0,1.11246,2.78009,0.3252,4.21335,1.42689,0.000731484,0.000731484,0.000731484
9,26.5826,0.72095,3.06427,0.25262,0.71245,0.98435,0.57778,0.28205,0.28923,0.21684,0,0,0,0,0.76923,2.25114,0.26208,8.88451,1.04535,0.00081581,0.00081581,0.00081581
10,29.0814,0.6875,3.12911,0.2515,0.73915,0.98267,0.87063,0.62037,0.65687,0.50642,0,0,0,0,0.66174,2.52205,0.19153,1.53779,0.9819,0.000898157,0.000898157,0.000898157
